SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Loudness,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,ArtistFamiliarity,ArtistHotttnesss,AudioMd5,EndOfFadeIn,Energy,Key,KeyConfidence,Mode,ModeConfidence,Release,SongHotttness,StartOfFadeOut,Genre,TrackId
13,SOZFZMX12AB018BE08,570488,Mind Control,ARED2DG1187FB3CB4D,,,,Tantric,,176.43057,9,0.622,-2.741,140.111,4,0.994,Coming Undone,2009,0.7208086974926082,0.4671335192037262,04a110f417a7cb807768377235a39219,0.113,0.0,9,0.622,0,0.531,Mind Control,0.6434786856080126,165.605,,TRAGNGY12903C9CD76
14,SOJMVGG12AB018AF5C,370932,Voices from the Siren Nation Vol. 2 - Live at the Wonder Ballroom,AR6LOPL1187FB4DABE,38.8991,Washington,-77.029,Mirah,,158.09261,9,0.287,-10.453,116.087,4,1.0,Apples in the Trees (Live),,0.6809412789025515,0.46136936899324926,fcbd458091284109813f3555d7a744ea,0.183,0.0,9,0.287,0,0.564,Voices from the Siren Nation Vol. 2 - Live at the Wonder Ballroom,0.0,155.806,,TRAGNXF128F933A80E
15,SOFESEK12AB017FA56,539363,Fitchburg Street,AREV0ZO1187B997221,32.77815,Dallas TX,-96.7954,Doyle Bramhall,,254.35383,10,0.793,-6.367,168.36,3,1.0,That's How Strong My Love Is,,0.6285601559358945,0.29296817047544627,3aa4b833e4c8fba9b88813bf30a40f2a,0.148,0.0,10,0.793,1,0.588,Fitchburg Street,0.21508031850922793,245.232,,TRAGNAX128F9313AE8
16,SONVMQR12AB018688B,721687,The Now Factor,ARO9IJB1187B9939D0,,,,Deckard,,175.90812,1,0.238,-5.973,90.964,4,1.0,Deckard,,0.48785153688890265,0.30119606462728515,128db9d522089368607a003d5dfdc265,0.0,0.0,1,0.238,1,0.356,The Now Factor,,169.361,,TRAGNFZ12903CD04C2
17,SOHBATX12A8C14009F,305368,Trouble Boys,ARVAE6W1187FB3CAF3,,,,The Refreshments,,184.5024,7,0.557,-6.986,169.943,1,0.0,Here we are,,0.5654522916583272,0.3524101268104496,54f93ae558219fe58752f72bbaa8dc47,0.485,0.0,7,0.557,1,0.759,Trouble Boys,0.0,178.132,,TRAGNOH128F42A87FF
18,SOSBBAV12AB018F27C,587631,Zero To Hero,ARJA5XT1187B9B89AA,,,,David Tao,,260.33587,2,0.463,-4.602,136.749,4,0.863,Summer Love Triangle,2009,0.48200699856983814,0.41589712845748655,450072955bd1481955ccab512158eb39,0.38,0.0,2,0.463,1,0.422,Zero To Hero,,255.042,taiwanese | hong kong | mandarin | chinese | production music,TRAGNQK12903CCB987
19,SOCHXHX12A8C143E1A,526980,I Always Lose,AR0X3JJ1187FB3A9A7,,McLellan FL,,Hank Locklin,,168.6722,2,0.88,-15.242,100.705,4,0.314,(Sittin') Alone At A Table For Two,,0.6357570221000797,0.3794369722404727,f06984cbe4bf2347d32f34af8b8bbddc,0.0,0.0,2,0.88,1,0.637,I Always Lose,,162.011,,TRAGNCM128F92EF1E8
20,SOMHHCX12AC468AB2E,597790,Tranceplant,ARNLHY61187FB3A0C0,,United States,,Organ Donors,,433.71057,4,0.3,-2.988,140.013,4,0.474,Tranceplant,,0.4672359160951003,0.40549840348588584,b46632b5177a33a429cfb2e813b26fd5,0.0,0.0,4,0.3,1,0.364,Tranceplant,,424.321,,TRAGNOK12903CE7FF6
21,SONOEAE12A6D4FB32B,176888,Rain Drops,AR8WHEJ1187B98CDCA,34.7519,Blythesville AR,-92.13055,Dee Clark,,132.07465,10,0.562,-16.865,95.948,4,1.0,Just Keep It Up,1990,0.5336501394878035,0.3435088776923589,0f11c8b5bb3ea078fee783717bcb5caf,0.218,0.0,10,0.562,1,0.336,Rain Drops,,121.568,,TRAGNYU128F42246AC
22,SODLFHM12A8C1432E9,527484,Meet the F@cking Bedwetters,ARNFTGS1187B9A465F,34.05349,California - LA,-118.24532,Bedwetters,,202.91873,1,0.602,-1.927,101.997,4,0.057,Like A Deck Of Cards,,0.666522676566775,0.4140794730317521,ccf9231dd23ff095afadcc3d62283d62,0.165,0.0,1,0.602,0,0.594,Meet the F@cking Bedwetters,,197.172,los angeles | punk | usa | classic hardcore punk | hardcore punk | california punk | california | classic punk,TRAGNMP128F92EFD64
23,SOJBTDV12A6D4F776A,33120,Trouble,ARASYMJ1187B9ACAF2,51.50632,London England,-0.12714,Whitesnake,,204.14649,2,0.328,-4.556,114.902,1,0.0,Don't Mess With Me (2006 Digital Remaster),1978,0.8224328293700504,0.5313033185652613,23c567d83f221d60a365aba62a1cb8e6,0.444,0.0,2,0.328,1,0.42,Trouble,0.3016817567316363,192.83,british | heavy metal | hard rock | blues rock | blues | deep purple family | uk | english | rock | glam metal | metal | 70s | classic pop and rock | hairmetal | 80s | glam rock,TRAGNUI128F1471068
24,SOVKAUG12AC468672A,689685,In the Blue of My Dreams,ARBJFXO122C8677DF0,,CANADA - Ontario,,Dave Rave_ Mark McCarron,,165.61587,6,0.33,-13.711,102.16,4,0.0,They Held Hands,,0.02608873682878871,0.0,55feed4c1499c497a2f218f929decb80,0.333,0.0,6,0.33,0,0.401,In the Blue of My Dreams,,156.508,,TRAGXBL12903CF2C9A
25,SOOZSTX12AB01842AA,511911,Hung Like A Horse EP,ARHOSMU1242078130D,,,,All Leather,,108.38159,2,0.16,-7.107,84.562,1,0.389,As The Hog Pisseth,,0.5995291858248561,0.37929493531757236,b9bad64d1f00b4d2add4c6ed20daa7fd,0.078,0.0,2,0.16,1,0.221,Hung Like A Horse EP,0.476435219642529,102.957,,TRAGXHN128F933F557
26,SOWROAS12A8C14258B,239553,I Keep Faith,ARJ7SQ31187B9AF432,,Barking Essex England,,Billy Bragg,,180.1922,0,0.452,-17.81,81.256,4,1.0,Goodbye (Solo Version),2008,0.7036905724109321,0.5291959222813954,b773e09a934312635eefbff80f7feef8,0.0,0.0,0,0.452,1,0.558,I Keep Faith,0.23158498839158823,169.407,british | folk-rock | rock | anti-folk | uk | english | classic pop and rock | alternative rock | folk,TRAGXKH128F428BD2F
27,SOLVUWT12A6D4FA589,48105,Mendelssohn: Piano Concertos Nos.1 & 2 etc,AR6U6C51187B9B6F68,,,,Jean-Yves Thibaudet / Gewandhausorchester Leipzig / Herbert Blomstedt,,413.1522,7,0.439,-19.852,160.246,1,0.0,1. Molto allegro con fuoco,,0.5302879138795185,0.3775790802188004,f63276d0cde1ae934fc9683c350b94e9,10.646,0.0,7,0.439,0,0.705,Mendelssohn: Piano Concertos Nos.1 & 2 etc,,378.096,classical,TRAGXBC128F148E5CC
28,SOUHVMV12A58A7C4D9,57767,Rhino Hi-Five: Crabby Appleton,ARLSGUY1187B98AEBC,37.16793,USA,-95.84502,Crabby Appleton,,186.69669,1,0.361,-4.594,89.091,1,0.058,Go Back,1970,0.4161840812052443,0.28568200699082735,34271fa435a8b6352e7aff2d101ac60c,0.0,0.0,1,0.361,1,0.465,Rhino Hi-Five: Crabby Appleton,0.5701059300583878,182.056,,TRAGXBL128F149EBA2
29,SOMCTKM12A8C138B86,160142,Actuar Para Vivir,ARJRQL51187FB541AB,,,,Juan Carlos Baglietto,,232.61995,10,0.572,-14.511,97.342,3,0.666,Tiempos Dificiles,1982,0.5408813491958131,0.386630836509906,908f2f19b4464b11533701bd35792ba7,0.248,0.0,10,0.572,1,0.439,Actuar Para Vivir,0.20138744193431418,210.913,,TRAGXAI128F4279B2B
30,SOORQPU12AB0188E50,420338,Le tour de France de l'accordéon,AR8R2KI11C8A415967,,,,André Blot,,179.85261,10,0.444,-6.031,199.483,3,0.695,Breiz Ma bro,,0.16485330120346647,0.0,842e8bbb26fb1535e2dc70c75d2f0ccf,0.0,0.0,10,0.444,1,0.461,Le tour de France de l'accordéon,,177.493,,TRAGXDW128F933843F
31,SOSWZOB12A58A7E693,599144,Guitar Man,AR7AOEJ1187FB3D279,33.35303,Inverness MS,-90.59005,Little Milton,,264.59383,3,0.465,-6.144,76.415,1,0.692,My Way,,0.5794227303571235,0.3864410971038427,2a0d2d55bfdaa06ed007c373fd0062ae,0.34,0.0,3,0.465,1,0.558,Guitar Man,,253.806,,TRAGXNT12903CEB1B9
32,SOCKOBC12A81C238AE,181884,Rock N Roll - Remix EP,ARINXZA1187FB56902,,,,Remi Nicole,,379.37587,10,0.216,-5.39,84.009,1,1.0,Rock N Roll,,0.5998100391967449,0.41946985983276547,31a86afaf0d73db4dd0237780f75d7dc,0.165,0.0,10,0.216,0,0.402,Rock N Roll - Remix EP,,372.814,rock and indie,TRAGXBP128F42311F4
33,SODREXM12AB017C1E8,623039,The Original Johnny Cash Volume 1,ARH861H1187B9B799E,,Kingsland AR,,Johnny Cash,,80.03873,1,0.083,-13.136,196.303,4,0.572,You Tell Me,1959,0.8172569392930438,0.7352088777469941,288cdd2a05bea7e389180f1adc2f4df6,2.258,0.0,1,0.083,1,0.427,The Original Johnny Cash Volume 1,,74.449,country | folk | american | blues | rock and roll | gospel | favorite | rock,TRAGXUZ128F9311745
34,SOINJPD12A6D4F8726,416722,Defected Accapellas Volume 4,ARFT5CP1187FB50263,,,,Junior Jack,,96.10404,0,0.066,-12.715,106.216,3,0.375,E Samba (Accapella),,0.6823551244526316,0.3936423099322644,61c958aa5856c2656d7748fb2f2a7628,0.0,0.0,0,0.066,1,0.348,Defected Accapellas Volume 4,0.7903445603060839,88.178,italian | belgian | european | dance and electronica,TRAGXNU128F932C7D8
35,SOJKNYV12A8C133E9C,286907,Sylvia,AR9ILJF1187B9B80ED,33.89275,Beirut Lebanon,35.48527,Gabriel Yared,,229.98159,9,0.697,-19.64,111.577,3,0.824,Devon,2003,0.6118014714600088,0.39904208143240477,1676bb2406ac87e35ebf7bd3706380c6,2.815,0.0,9,0.697,1,0.589,Sylvia,0.3135621142479342,216.805,lebanese | soundtrack composer | soundtrack,TRAGRIH128F426FE32
36,SOOGGUS12A8C138B27,300907,Edmond Leung Collections,ARGP7WY1187FB45464,,,,Edmond Leung,,234.1873,0,0.596,-10.67,113.571,4,0.709,Ling Shi Shi Ji Fen,,0.4333173904453363,0.3498862891327602,bff96fbf3c47ade754f946c7d5df6337,0.407,0.0,0,0.596,1,0.643,Edmond Leung Collections,,219.289,cantopop | cantonese | hong kong | chinese,TRAGRHF128F4295A42
37,SOWJAVO12AB0180222,639908,Perfect Dragon,AR8BMEQ1187B9B4214,38.2589,Missouri,-92.43659,Pumpkin Buzzard,,137.63873,10,0.416,-5.676,169.771,4,0.0,Gumby Killed the Dinosaur (House Mix),,0.3911088846318064,0.24009840575296107,7117d49d2d45743d6ef1d5ce3125e84c,0.061,0.0,10,0.416,0,0.451,Perfect Dragon,,135.059,,TRAGRHC128F933E939
38,SOPUUCZ12AB0180B3B,443082,Dreamer 'Remixed',ARRCKE61187B99377F,40.88104,Garfield NJ,-74.1148,Janice Robinson,,459.33669,7,0.634,-6.99,84.655,3,1.0,Dreamer (Jamie J Sanchez Club Mix),,0.4492417192447203,0.36700657053934316,42dd51f9d5ddb6d1c6e8d57eaf2c27f1,0.165,0.0,7,0.634,1,0.614,Dreamer 'Remixed',0.26586104921065007,452.986,,TRAGRWL128F92FA2F6
39,SOYZHTW12A58A7DAD9,722546,White Feather,ARDF8K01187FB37200,,Sydney Australia,,Wolfmother,,316.21179,4,0.006,-6.183,110.441,4,0.978,White Feather,2009,0.7922555897317167,0.5669715662185826,a65985c7c64176d08991d462c372411d,0.705,0.0,4,0.006,1,0.267,White Feather,,304.036,rock and indie,TRAGRRP12903CD2911
40,SOALFBA12A81C20681,179488,Twilight Fields,ARN3O411187FB4D859,,,,Stephan Micus,,519.8624,0,0.004,-22.517,142.158,4,0.677,Part 1 (19 Flowerpots_ 2 Hammered Dulcimers_ Bavarian Zither_ Shakuhachi),1988,0.5613709072283409,0.36553375619798023,838e5aca7830a79b2c892493684f9c6d,0.0,0.0,0,0.004,1,0.29,Twilight Fields,,498.19,german,TRAGRBP128F422B80A
41,SOHTCQC12A6D4F49CA,27633,Karajan & L'Opera,ART8F8O1187B9A538D,,Salzburg Austria,,Herbert Von Karajan,,288.41751,9,0.425,-22.384,75.416,5,0.587,Si Mi Chiamano Mimila Boheme Act1 Remast,,0.6680556868584198,0.4641524390532526,4cfa2bea18628a1415bddf5da14898c2,3.692,0.0,9,0.425,1,0.424,Karajan & L'Opera,,274.675,karajan | german,TRAGRLY128F1466214
42,SOKUXFH12A8C145EF7,320428,This Kind Of Love,AREPD8D1187FB3F5BC,,Gainesville FL,,Sister Hazel,,230.37342,2,1.0,-12.283,139.841,4,0.515,This Kind Of Love (Full Band),,0.7310657557108706,0.5098787078527026,e9f6494fdc05603b5ce6453c03fd901c,1.216,0.0,2,1.0,1,0.92,This Kind Of Love,0.6169223675944069,212.143,,TRAGROY128F92D2C53
43,SOQPXJH12A8C13C3EA,109040,Sometimes I Just Feel Like Smilin',ARHWVGW1187FB41479,,,,The Paul Butterfield Blues Band,,228.75383,3,0.728,-13.705,77.207,1,0.0,Pretty Woman (LP Version),1971,0.5559041225130544,0.3954788611599233,5d5624c7c8394036858fe7c0b02c0277,0.189,0.0,3,0.728,1,0.572,Sometimes I Just Feel Like Smilin',0.24919965586187243,213.38,,TRAGVOF128F4292ED0
44,SOKGAEA12AB017F671,532854,Yamandu + Dominguinhos,ARUWLCL1187FB549B8,,,,Yamandu + Dominguinhos,,276.79302,9,0.544,-16.21,118.239,4,0.709,Chorando Baixinho,,0.3977728757878008,0.38347574490669173,8399edb60f1e70d797dc70d463ca2d62,0.0,0.0,9,0.544,0,0.197,Yamandu + Dominguinhos,,271.29,,TRAGVOE128F92FFDD2
45,SONFHHG12A58A7D321,506876,In Search Of The Magic,ARWGIOC1187FB4CBEF,37.16793,United States,-95.84502,Jim Chappell,,217.49506,7,0.756,-23.69,86.39,4,0.403,Almost Us,1997,0.5202049113174553,0.36150980217715184,c969aed0e439a418e7d938804f18af8f,0.374,0.0,7,0.756,1,0.579,In Search Of The Magic,0.0,190.793,,TRAGVJI128F9331513
46,SOLWUMG12A8C13106C,282362,Ivory,ARMIMHT1187B98F038,,Santa Monica CA,,Teena Marie,,328.56771,9,0.585,-11.037,81.947,4,0.624,How Can You Resist It,1990,0.6214143284038942,0.44393019272579715,95d382859df4fffb8d90aaafa47b9580,2.804,0.0,9,0.585,1,0.599,Ivory,0.26695518627553855,319.872,funk | rnb | urban contemporary | rock | american | dance-pop | soul and reggae,TRAGVRL128F4264526
47,SOSFVMZ12A6D4F5951,79225,Lullaby - Music for the Quiet Times,AR23EC41187FB4805D,40.14323,New Jersey,-74.72671,The American Boychoir,,224.54812,4,0.458,-33.595,87.76,4,0.49,Intermezzo,,0.40982763502826935,0.2918834217879059,6bbee21d5957f38128fe6220381dea26,0.317,0.0,4,0.458,1,0.521,Lullaby - Music for the Quiet Times,,224.548,,TRAGVBL128EF35920C
48,SOGRSCQ12A8C1367FE,154001,The Military Band - Salute to the Services,ARASWKT1187B9923B7,38.62774,St. Louis MO,-90.19951,Felix Slatkin/Concert Arts Symphonic Band,,138.57914,3,0.688,-16.325,122.774,4,0.0,El Capitan (1998 Digital Remaster),,0.47161281018282714,0.2916990799372148,3ba72955e5d81621dac13288b1be2c6e,0.437,0.0,3,0.688,1,0.59,The Military Band - Salute to the Services,,133.718,,TRAGVEK128F42680B6
49,SOHROMP12A6D4FEFC7,128985,I Believe To My Soul,ARALUUG1187FB58696,30.43883,Ponchatoula LA,-90.44116,Irma Thomas,,195.36934,0,0.224,-9.675,99.492,1,0.172,The Same Love That Made Me Laugh  [LP Version],,0.6238237678518292,0.4411063591444711,d2718c73db88de3dc7f93742ed419458,0.373,0.0,0,0.224,1,0.377,I Believe To My Soul,0.0,183.705,classic pop and rock,TRAGVWF128F4230C95
50,SOHNAWQ12A6D4FCFF9,128937,He's Working It Out For You,ARK0VFZ1187FB4309B,,DURHAM North Carolina,,Shirley Caesar,,266.03057,1,0.505,-9.116,115.508,4,0.573,Healed (LP Version),,0.579309488079539,0.3702735189662959,7fb5ab31a2dc861a3f1fad36370f5ad3,0.0,0.0,1,0.505,1,0.483,He's Working It Out For You,,256.43,,TRAGVGB128F423098D
51,SOGJYMK12AB018272A,466293,The Right Time,ARK9K3O1187B98F504,,Los Angeles CA,,Cherrelle,,290.82077,8,0.239,-6.222,145.607,4,1.0,Into My Eyes,1999,0.4772717663045136,0.34719488409731486,fac750f7a9a01e44a26d00a6a52be776,0.305,0.0,8,0.239,0,0.513,The Right Time,0.0,278.448,,TRAGVJG128F93386C6
52,SOCTKFG12AB017D983,342182,Spotlight On Jerry Butler,AR8XG9J1187FB418C1,33.54243,Sunflower MS,-90.53727,Jerry Butler,,167.18322,11,0.204,-18.341,87.758,1,1.0,He Will Break Your Heart,1960,0.5892596782086101,0.38958978111331777,84139a197bb23182e560686589cd86ff,1.019,0.0,11,0.204,1,0.305,Spotlight On Jerry Butler,,160.705,,TRAGVTG128F92FE9E2
53,SOGMWOY12AB017FA59,744095,Portals,ARVXKTV1187FB44139,36.97402,Santa Cruz CA,-122.03095,Arsonists Get All The Girls,,240.92689,1,0.506,-3.424,129.824,3,0.595,Violence in Fluid Triceratops,2009,0.725402920778495,0.4549573948202216,aeb4a473163b655ea64706c856f11cdb,0.0,0.0,1,0.506,1,0.482,Portals,0.7314733570496581,237.854,mathcore | grindcore | sucky | experimental | american | metal,TRAGVRD12903D09FED
54,SOOSLVC12A8C13E51E,118939,Mo' Mega,AR7H21J1187FB40C69,,,,Mr. Lif,,327.6273,10,0.584,-7.144,107.32,3,0.995,For You,2006,0.6874540954568543,0.4486291115925325,6e9c6aefa6a738c977a4c4a220764394,0.0,0.0,10,0.584,0,0.457,Mo' Mega,0.41967427880955327,309.052,,TRAGVCD128F42A4C01
55,SOCJAYM12A8C138772,294998,The Infamous,AREV2491187B9B017E,,Queensbridge NY,,Mobb Deep,,298.00444,6,0.48,-5.16,87.747,4,0.385,Up North Trip,1995,0.7722721609278159,0.5001193350750798,d487bbf57fcee0caa2b94fa096188fec,2.734,0.0,6,0.48,0,0.584,The Infamous,0.6366359710042119,293.245,new york | us | hip-hop | rap | hip hop rnb and dance hall,TRAGVAO128F4289B5D
56,SOJDKQV12A6D4FAF0E,64413,Petraphonics,AR2KSTE1187FB57A36,,Fort Wayne Indiana,,Petra,,222.61506,0,0.581,-11.403,107.531,4,0.44,Don't Let Your Heart Be Hardened (This Means War Album Version),,0.7981586559379212,0.4753930634423814,4ce8bb2c734e2d9c9961c255c9185ee5,0.189,0.0,0,0.581,1,0.453,Petraphonics,0.0,213.391,,TRAGVMH128F14ADF05
57,SOELNMY12A8C13759B,291748,Lost Dogs,ARFVYJI1187B9B8E13,47.60356,Seattle WA,-122.32944,Pearl Jam,,232.35873,7,0.601,-12.246,138.291,7,0.415,4/20/02,,0.8144481104168003,0.6079718095629023,b7f2b1f6dbacf1d7b517b50da7bbf01c,0.148,0.0,7,0.601,1,0.571,Lost Dogs,,216.027,grunge | rock | seattle | alternative rock | american | hard rock | rock and indie,TRAGVKL128F427E896
58,SODMLAB12A8C1441D2,314190,The Long Way Home,AROYBLU1187B99A255,,,,Jarvis Church,,231.73179,8,0.692,-5.659,119.976,4,1.0,So Beautiful,,0.43997278169210013,0.0,436113cc8ee90e09277b224b90f47907,0.235,0.0,8,0.692,1,0.72,The Long Way Home,0.0,229.262,,TRAGEFB128F92C6CA9
59,SOFNFIL12A8AE47377,2004,Snivilisation,ARD5K161187B9AC784,51.27562,Sevenoaks United Kingdom,0.17898,Orbital,,933.642,0,0.36,-10.328,95.315,1,1.0,Are We Here ?,1994,0.69300920358103,0.49866887479608674,021e5d675913f3223dca99b20267cba5,0.0,0.0,0,0.36,1,0.405,Snivilisation,,930.807,british | english | sevenoaks | house | techno | electronica | electronic | ambient techno | uk | dance and electronica,TRAGEHE128F423E5A1
60,SOSSUGT12A8C138F9F,211112,Un Mundo De Sensaciones,ARO0R521187B98A2D1,,,,2 Minutos,,88.58077,5,0.083,-3.211,203.994,1,0.0,Rompan Todo,2006,0.5918462874725177,0.372462979783255,0e54ced86fcaea043a42b0615555a07d,0.0,0.0,5,0.083,1,0.118,Un Mundo De Sensaciones,0.3725300393660796,84.184,,TRAGETA128F4272C38
61,SOTURND12AB0183FF9,490203,Debout là d'dans,ARWWDSC1269FCD4D06,,,,Ministère des Affaires Populaires,,140.12036,2,0.686,-16.165,66.963,1,0.47,Bagdad by night,,0.36005462264834104,0.2764458834928463,119a80687016418b1796f7ef3e394177,0.432,0.0,2,0.686,1,0.664,Debout là d'dans,,137.741,,TRAGEMO128F9306A84
62,SOMRWKM12A8C13AEC9,301445,The Fabulous Mae West And Other Wonderful Girls,ARFLD291187B9966AA,30.2676,Austin TX,-97.74298,Damita Jo,,182.33424,10,0.209,-15.498,110.058,4,0.126,Face To Face,,0.44922215222583023,0.28489406124365585,dd7e941c75526d68057a0f34170f8d84,2.485,0.0,10,0.209,0,0.362,The Fabulous Mae West And Other Wonderful Girls,,175.554,,TRAGEFP128F429B217
63,SOXAUYW12A6D4F7DAB,25564,Harder Faster,ARFKYG51187FB4CE41,44.64616,Halifax Nova Scotia Canada,-63.57392,April Wine,,179.04281,2,0.983,-13.666,166.036,1,0.0,Say Hello,1979,0.6567597878169679,0.4104772001409885,a8e3b9dffa3a24c91c8316de370a9698,0.0,0.0,2,0.983,1,0.822,Harder Faster,0.7547163315970986,171.642,,TRAGEVS128F145FEAD
64,SOQYRCZ12A6D4FC618,271398,Mes Années Disco,ARSKATF1187B98A622,,,,Alain Turban,,219.19302,1,0.111,-8.085,134.837,4,1.0,Santa Monica (Version Originale 1980),,0.41193900753627105,0.0,866d1b0138e138ae04a56201fe065c9e,0.479,0.0,1,0.111,1,0.577,Mes Années Disco,,213.792,,TRAGEPD128F4247B81
65,SOZGZSN12A8C1407E3,223456,Amerijuanican,ARRH2S81187B98C8AA,43.07295,Madison Wisconsin,-89.38669,Bongzilla,,419.68281,11,0.109,-6.407,91.498,3,1.0,Cutdown,2005,0.5744007886920006,0.4460715844124553,b3503883aca3739536c65f94fd0212b2,0.142,0.0,11,0.109,1,0.446,Amerijuanican,0.5486780555679608,412.758,american | sludge metal | metal | doom metal | stoner metal,TRAGEQI128F429154D
