"ArtistLocation","Split Value 1","Split Value 2","Split Value 3","Split Value 4","Split Value 5","Split Value 6","Split Value 7","Split Value 8","Split Value 9","Split Value 10","Split Value 11","Split Value 12","Split Value 13","Split Value 14","Split Value 15","Split Value 16","Split Value 17","Split Value 18","Split Value 19","Split Value 20","Split Value 21","Split Value 22","Split Value 23","Split Value 24","Split Value 25","Split Value 26","Split Value 27","Split Value 28","Split Value 29","Split Value 30","Split Value 31","Split Value 32","Split Value 33","Split Value 34","Split Value 35","Split Value 36","Split Value 37","Split Value 38","Split Value 39","Split Value 40","Split Value 41","Split Value 42"
"Florence SC","death","metal","metalcore","deathcore","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Florida","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GERMANY","polka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Germany","german","hip-hop","rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Germany (Erfurt Thuringia)","black","metal","ambient",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glasgow","desi","bhangra","punjabi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glasgow ","pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glendale AZ","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Goodwill LA","country",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great Britain / UK","american","opera","mezzo-soprano",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greensboro NC","erroll","garner","folk","blues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haifa Israel","hard","rock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hamburg Germany","german",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hamtramck MI","rock","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harlem New York NY","hip","hop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harlington TX","country","folk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harrow Middlesex England","uk","rock","middlesex","harrow","england",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hartford CT","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hastings England","house","electronic","progressive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hatfield Hertfordshire England","uk","british","english",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Havířov Česká republika","czech",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hawaii","british",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Helsingborg Sweden","metal","melodic","death",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Helsinki","finnish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Helsinki Finland","finnish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hernando MS","blues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heston Middlesex England","uk","british","english",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong","indie","pop","cantonese","hong","kong","chinese",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Houston TX","country","american","pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hudsonville MS","blues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hughesdale Victoria Australia","folk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hämeenlinna","finnish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Illinois","production","music",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indonesia","production","music",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ireland","irish","folk","celtic","breton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Itawamba County MS","country",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson MS","country","pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jacksonville FL","ragtime","country","blues","delta","chicago","american","piedmont",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jyväskylä Finland","via","mistica","finnish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kitee Finland","finnish","symphonic","metal","power","finland","gothic","scandinavia","scandinave","scandinavie","scandinavian","finlande","heavy","finlandais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kremenchuk Ukraine","soundtrack","composer","ukranian","russian","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LA California","side","project","hip-hop","rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lafayette LA","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lafayette/Baton Rouge LA","folk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lancaster NH","punk","usa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lansing MI","detroit","punk","michigan","usa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laredo TX","world",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Latvia","latvian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lawton OK","country",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leeds","american","folk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leona Texas","blues","texas","electric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lille (59)","french",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lille Nord-Pas-de-Calais France","new","age","ethnic","electronica","ambient","world","electronic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liverpool England","british","rock","pop","invasion","60s","heavy","metal","classical","instrumental","folk-rock","orchestral","psychedelic","merseybeat","roll","adult","alternative","tribute","albums","psychedelia","singer","songwriter","indie",,,,,,,,,,,,,,,,,,,,
"Locust Ridge TN","country","folk","american","pop","bluegrass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"London","portuguese","lisbon","european","dubstep","dark","ambient","producers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"London England","production","music","british","hard","rock","progressive","art","metal","70s","english","classic","1","7","186240","183","23558","41608","89158","111733","150833","169883","uk","stoner","80s","heavy","soft","symphonic","orchestral","psychedelic","power","pop","punk","london","england","oi","techno","dance-punk","alternative","dance","electronic","electronica","asian"
"Long Beach California","progressive","rock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Long Island NY","us","hiphop","hip","hop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Longjumeau France","french",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles CA","los","angeles","american","electronic","big","beat","punk","hardcore","pop-punk","california","lomita","usa","jazz","drum","hip","hop","country","greatest","hits","x","soundtrack","rock","américain","ska","skate",,,,,,,,,,,,,,,,,
"Los Angeles California","american","video","game","soundtrack","film","composer","singer","lyricist","united","states",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Louisiana","quebec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Luttrell TN","folk","country","classical","jazz","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lynn Lake Manitoba Canada","country","rock","canadian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MX","méxico","español",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Madison Wisconsin","american","sludge","metal","doom","stoner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Madrid Spain","spanish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mali Africa","malian","african","world",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marseille","hamburg","german",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marvell AR","blues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Medellin Colombia","español","colombia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Medicine Lodge KS","country",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Melbourne Australia","grindcore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Melbourne Victoria Australia","australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Menilmontant France","french",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Merida Mexico","méxico","español",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mexico City Mexico","rock","latin","pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Michigan","latvian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minneapolis MN","electronic","american","techno","freestyle","synthpop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minnesota","united","states",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mogadishu Somalia","soomaaliya","canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Montbrison France","classical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. San Antonio College CA","american","san","francisco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M�engladbach Germany","german",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M�th Germany","european","german",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NASHVILLE US","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NY - New York City","folk","country","british",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nashville TN","country","pop","rock","christian","singer-songwriter","slide","guitar","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nashville TN Texas","country","american","folk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Neuilly-sur-Seine France","french","composer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Jersey","horror","punk","new","jersey","usa","hardcore","soundtrack","american","production","music",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans LA","blues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York City","pop","united","states","américain","american","the","fame","electronic","electropop","usa","folk","rock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York NY","punk","usa","new","york","jazz","latin","rock","electronica","american","electronic","hip-hop","turntablism","avante","garde","classical","oratorio","opera","soundtrack","brooklyn","musical","composer","greek","european","folk",,,,,,,,,,,,,,,,,,
"New York NY [The Bronx]","salsa","latin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Newark NJ","american","pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Newcastle","post-grunge","australian","experimental","alternative","rock","hard","mellow","art","grunge","angsty","newcastle","baroque","pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North London England","uk","british","english",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norway","norwegian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nueva Jersey (Estados Unidos)","new","metal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oakland CA","folk","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Old Town ME","country","folk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orange County CA","ska",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orlando FL","thrash","metal","metalcore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oslo Norway","norwegian","black","metal","melodic","symphonic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oxford MS","delta","blues","electric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PEARLINGTON Mississippi","production","music",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PHILADELPHIA Pennsylvania","folk","indie","usa","american","américain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLAND","black","metal","death","polish","blackened",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paducah KY","saxaphone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paris France","french","eurovision","yé-yé","pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Passaic NJ","american","rnb","soul","pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paw Paw WV","folk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Philadelphia PA","rock","jazz","fusion","american","dancehall","electronic","electro","dub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pittsburgh PA","punk","rock","american","usa","hardcore","américain","pittsburgh","glenshaw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plymouth Devon England","production","music",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ponce Puerto Rico","salsa","latin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Port Elizabeth South Africa","south","african",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portugal","black","metal","portuguese","gothic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quantico VA","alternative","country",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Queens NY","heavy","metal","hard","rock","american","glam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rayne LA","cajun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rio de Janeiro Brazil","brazil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rome Italy","classical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rossville Tennessee (Lived in Como Mississippi)","blues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SPRINGFIELD Virginia","group","hip-hop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salzburg Austria","karajan","german",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Antonio TX","texas","san","antonio","punk","usa","country",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Diego CA","avant-garde","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Francisco CA","folk","steal","your","goals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Juan Puerto Rico","puerto","rican",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Santa Cruz CA","mathcore","grindcore","sucky","experimental","american","metal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Santa Rosa California","punk","usa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Santiago de los Caballeros Domin","salsa","latin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Santo Amaro da Purifica� Bra","mpb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sao Paulo Brazil","brazilian","bossa","nova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sch�erg Germany","german",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seattle","grunge","alternative","rock","metal","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seattle WA","grunge","alternative","metal","hard","rock","américain","usa","heavy","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
